,title,vector,cluster
0,aktuell,"[-0.14743   -0.23215   -0.023459   0.047837  -0.10881   -0.46006
  0.37892    0.072266   0.47903    0.094732   0.085738  -0.17242
 -0.20276   -0.43685   -0.34098    0.54297   -0.047311  -0.3117
 -0.01688    0.084958  -0.26167    0.10835   -0.67641   -0.57127
 -0.54572    0.3352     0.71737    0.6947     0.18619    0.5938
  0.11397   -0.22823   -0.25751    0.028965   0.15753    0.028999
  0.0012107 -0.3809     0.026939  -0.0466     0.061592   0.23708
 -0.20284    0.3837    -0.0044909 -0.28841   -0.23251    0.52531
  0.11266    0.24169    0.033594   0.2648    -0.84548   -0.34984
  0.40602    0.3992     0.15691    0.59888   -0.50482   -0.41234
 -0.10295   -0.51431   -0.51402   -0.34853    0.25751    0.047252
 -0.68547   -0.11379    0.049988   0.42126    0.020671   0.30143
  0.13178   -0.10684   -0.0053185  0.042918   0.39986   -0.073675
  0.0054298 -0.25712   -0.44858   -0.36739    0.50646   -0.2219
  0.75501    0.059759  -0.21736   -0.057958  -0.24654    0.45538
  0.23825    0.2638     0.7715    -0.24733    0.60041    0.15253
  0.12221   -0.04546   -0.14343    0.36484  ]",0
1,ajax,"[ 0.17771  -0.36045   0.066296 -0.5684    0.32286   0.50256   0.7568
 -0.39307  -0.39957  -0.80425   0.57899  -0.3285   -1.0562    0.047633
  0.21752   0.23106   0.12344  -0.29113   0.67075   0.3265   -0.098874
  0.040023 -0.55142   0.86902   0.58725  -0.7709   -0.28904  -0.34682
 -0.58437  -0.60168  -1.0641    0.48757  -0.76459   0.30582   0.64181
 -0.21775   0.10568   1.0814   -0.78933  -0.084766 -0.043871 -0.52978
  0.43401  -0.37156   0.19759   0.6068    0.80973   0.083018  0.011527
  0.4863    0.13428  -0.15648  -0.80372   0.33632  -0.099113 -0.4041
 -0.67318   0.097711 -0.36196   0.25391   0.42611   0.21598  -0.99178
 -0.36892  -0.062934  0.47856  -0.48505   0.66768  -0.886     0.13966
  0.22154  -0.67978   0.7084   -1.2321   -0.57173  -1.0579    0.15209
  0.071073 -0.078176 -0.024059  1.1298   -0.1596   -0.86766   0.31401
 -0.52028   0.22759  -0.21618   1.1744    0.25291   0.7218   -0.69793
  0.36007   0.59182   1.1753   -0.067933 -0.50876  -0.50939   0.40458
  0.27507  -0.55017 ]",1
2,alter,"[-0.10944   -0.74435    0.32661    0.23659   -0.68889   -0.34427
 -0.44327    0.092843   0.31242    0.68621   -0.89314    0.20799
  0.18874   -0.70407    0.19518    0.43195    0.4017     0.2284
  0.030736   0.11666    0.059361  -0.78101    0.44466    0.25475
  0.037752  -0.23435   -0.21843   -0.96604    0.53783    0.5144
  0.55919    0.86978   -0.5208    -0.45306   -0.8633    -0.36101
  0.036932  -0.36219   -0.4376    -0.038884   0.098685  -0.29377
 -0.49655    0.31354   -0.60026    0.23239   -0.41662    0.019536
 -0.44885   -0.76761    0.44093    0.26704    0.5124     0.4155
  0.44601   -1.3476     0.73875   -0.12386    0.36135   -0.169
  0.091964   0.67993    0.12918   -0.22342    0.82761    0.13666
  0.0071103  0.29737   -0.31081   -0.80926    0.53648   -0.15806
  0.12848   -0.41797    0.052125  -0.76338    0.011588  -0.24391
  0.20581    0.1493    -0.18786   -0.42577   -0.45617   -0.30114
 -0.79403    0.069136   0.078293   0.051864  -0.18058   -0.14097
 -0.26573   -0.075305   0.18159   -0.36913    0.042537  -0.059266
 -0.03728   -0.67815    0.14777   -0.053735 ]",2
3,amsterdam,"[ 1.3237   -0.49444  -0.11296  -0.46716   0.67211   0.22408  -0.15378
 -0.034688 -0.0426   -0.12468   0.38596  -0.33296  -0.7109    0.26141
 -0.038785 -0.24668  -0.010417 -0.5037    0.25778  -0.61058   0.20319
  0.19043   0.24457   0.071177  0.62667  -1.5395    0.18825  -0.65845
  0.13682   0.031367 -1.4089   -0.11631  -0.1257    0.40495  -0.0262
  0.19009   0.98631   0.345    -0.064789 -0.43747   0.097997 -0.96379
 -0.089091 -0.53615   0.1583    0.34784   0.54623  -0.36007  -0.077464
  0.41847   0.2191    0.18242   0.11643   0.17998  -1.5447   -1.1438
 -0.83038   0.061429  0.5738   -0.24648  -0.39047   0.89035  -0.72272
 -0.36857  -0.5798   -0.041067 -0.72379   0.5088   -0.26093   0.13604
 -0.40044  -1.0222    0.35676  -0.4232   -0.59499  -1.0336    0.27311
 -0.42785  -0.62368   0.026228  0.078257  0.023918  0.26418   0.54928
 -0.50558  -0.32867  -0.36518  -0.085156 -0.34555   0.73909   0.32746
 -0.40318   1.1595    0.36983  -0.23955   0.97372   0.034242  0.15796
  0.39724  -0.39962 ]",1
4,accident,"[-6.3287e-03 -3.7913e-01  4.0992e-01 -3.8438e-03 -8.1139e-01 -6.7840e-01
  2.5995e-01  1.0903e+00  6.0039e-01  6.8617e-02  6.0529e-01  9.9349e-01
  6.2516e-01 -6.4927e-02 -1.3299e-01 -1.1893e-01  7.2227e-02 -2.9411e-01
 -5.2764e-01  7.9741e-01  4.9420e-01 -8.8902e-02  2.3917e-01 -1.3490e-04
  1.0083e-01  3.0154e-01 -8.5693e-01  6.0000e-01  3.9684e-01  2.3637e-01
 -5.3385e-01  2.2272e-02 -1.1326e-01  7.8765e-02 -9.8925e-01 -4.5780e-01
 -1.6784e-01  3.2173e-02  3.1255e-01  5.6557e-01 -3.1221e-01  3.2615e-01
  2.5084e-01 -6.2934e-01 -1.8363e-03  6.9551e-01  5.7464e-01  4.4739e-02
 -2.4990e-01 -7.9119e-01  5.2257e-01 -2.1110e-01 -1.6103e-01  9.8529e-01
  1.2813e-01 -1.5351e+00 -5.6295e-01  4.1564e-01  1.8002e+00  1.0223e+00
 -1.4897e-01  9.9298e-01  5.4087e-01  2.7504e-01  4.1355e-01  2.8260e-01
 -3.0770e-01 -6.3867e-01 -3.3489e-01  3.9878e-01 -1.1430e+00 -1.6836e-01
  2.9948e-01  6.6810e-01  7.4680e-01  3.4709e-01  1.3212e+00 -1.4027e-01
 -8.9800e-01 -1.9512e-01  1.2478e-01  5.9976e-01  3.7032e-01 -1.5821e-01
 -8.5888e-01 -3.3328e-01 -3.4937e-01  1.2206e-01 -1.0733e+00 -1.7204e-01
  4.9451e-01 -3.0870e-01 -1.8550e-01  7.1409e-01  1.9886e-01  1.1276e+00
 -1.0096e-01 -1.0000e-01  2.1349e-01 -1.2453e+00]",3
5,attack,"[-0.71726   -0.087268  -0.22588   -0.24959   -0.41283    0.69323
  0.39439   -0.62421    0.21918    1.0554     0.20845    0.16949
  0.24438    0.31863    0.34825    0.52331   -0.65669   -0.37279
 -1.4661     0.43646    1.4433    -1.0402    -0.052389   0.010299
 -0.39235    0.68106   -0.24119    0.40399    0.13136   -0.014827
  0.034208   0.35026   -0.013681   0.12576    0.2314    -0.46405
 -0.010498   0.025325   0.31495    0.53495   -0.68541    0.31263
  0.69787    0.31494    1.0271     0.22883    0.43943    0.054006
 -0.34129   -0.54888    0.16787    0.60858    0.31597    1.4245
 -0.25293   -2.319     -0.36808   -0.52708    1.4239     0.563
 -0.52492    0.8315     0.42562    0.004458   0.48084    0.29106
 -0.38571    0.042382  -0.67044    0.3866    -0.3061    -1.3294
 -0.017454  -0.54167   -0.14447   -0.090604   0.58835    0.40443
 -1.1829     0.34273    0.8061     0.13523   -0.56589    0.24792
 -1.0377    -0.57258    0.0085369  0.45421   -0.19999   -0.26616
  0.4066    -0.076361   0.16987    0.66905   -0.43259    0.34483
 -0.042879   0.098241   0.39373   -0.089559 ]",3
6,brentford,"[ 0.17386   -0.32435   -0.28096    0.12229    0.45435    0.41011
  0.50781    0.21881    0.025278   0.19936    0.46659   -0.97105
 -0.43983   -0.34777    0.76986   -0.21672    0.82839    0.45574
  0.62254    0.13612   -0.0248    -0.45217    0.13614   -0.36425
  0.46111    0.25173    0.33359    0.44416   -0.22861    0.41354
 -0.37212    0.081337  -0.0062985  0.20796   -0.63301    0.79728
 -0.72589    0.2337     0.017502  -0.21525    0.58523   -0.46748
 -0.018887  -0.18831    0.51396    0.4002     1.0456     0.21913
  0.75889    0.65365   -0.057988  -0.44493   -0.2294     0.87502
 -0.12329   -0.021401  -0.34027   -1.4037    -1.4878    -0.025751
 -0.38367   -0.4109    -1.1093     0.24136    0.24163    0.30811
  0.13463    0.82486   -0.43902   -0.23729   -0.44225   -0.2504
  0.56518   -0.9973     0.052267  -0.30993    0.19476   -0.15659
 -0.48323   -0.32808    0.58962    0.59783   -0.04647    0.41425
 -0.10055   -0.26561   -0.84368    0.35419    0.64317    0.47824
 -0.95727    0.40365   -0.37627    0.68778    0.19493   -0.61328
  0.36492    1.5446     0.26779   -0.67848  ]",0
7,bild,"[-0.37552   0.16974  -0.24012  -0.51474  -0.73888   0.25145   0.46833
  0.082293  0.49496   0.59231   0.8545    0.36164  -0.10461  -0.32999
 -0.27253  -0.24112   0.52921  -1.1239   -0.16822  -0.80954   0.38717
  0.47579  -1.7137    0.82385   0.39126  -0.65655   0.49957   0.35332
  0.10184   1.1568    0.087389 -0.07693  -0.61048  -0.2719    0.22655
  0.59381   0.44356  -0.25437  -0.9918   -0.39624  -0.14508   0.5004
 -0.51717   0.29678  -0.92686  -0.43304   1.1673   -1.2763    0.18707
  0.19726   0.36035   0.32276   0.60931   0.32569  -0.60208  -0.11216
  0.024782  1.7663    0.2799    0.19865   1.1308   -0.028346 -0.69553
 -0.48443   0.41276   0.111     0.23711   0.28368   0.12732  -0.3962
  0.005236  0.28584   0.10987  -0.26896   0.31467   0.9184    0.82805
 -0.10349  -0.6358    0.019869  0.70597  -0.18234  -0.14836  -0.58164
  0.60883  -2.1773   -0.52935   0.96103  -0.35971  -0.046081  0.93749
  0.23542   1.6915    0.65153   0.35084  -0.074258  0.31601  -0.27321
  0.92592   0.95536 ]",0
8,baby,"[ 0.49747   0.71339   0.51554  -0.55087  -0.48519   0.12701   0.28858
  0.2555    0.30187  -0.36964  -0.022764  0.80485   0.1737    1.0708
  0.69407  -0.12844   0.20925   0.3689    0.08969   0.43504  -0.33456
  0.082812 -0.035869  0.28223   0.18101   1.2952   -0.91705  -1.1081
 -0.43735   1.1792    0.48667   0.13195   0.70044   0.3524   -0.040616
 -0.30233   0.061232  0.34215   0.55953  -0.80994   0.35233   0.015908
 -0.17714  -0.87737  -0.43812   0.31898  -0.71321   0.25154  -0.30606
 -0.27977  -0.4701   -0.27719   0.049269  0.94132  -0.28738  -2.0086
 -0.75591   0.47268   0.83869   0.080686  0.76346   1.0687    0.028308
 -0.05219   0.89357   0.63685  -0.050437 -0.19821  -0.37546  -0.30817
 -0.014971  0.18231  -0.53155   0.2826    0.053347  1.1617   -0.2825
 -0.33431  -0.14912  -0.61048   0.6884   -0.33249   0.80544   0.58556
 -1.5309   -0.95056   0.22209  -0.55362  -0.53142  -0.053269  0.56678
  0.2802    0.56667  -0.43891  -0.78103  -0.29886  -0.37891  -0.032686
  0.16892  -0.28492 ]",2
9,comeback,"[ 3.7611e-01 -1.6339e-01  4.8605e-02 -5.8357e-01  2.4408e-01  8.6088e-02
  7.0061e-01 -1.3277e-01 -6.0614e-01 -3.4094e-02 -1.1369e-01  4.4105e-01
 -8.6786e-01 -2.9166e-01 -2.7685e-01  8.6223e-01 -8.3453e-02  6.0271e-01
  7.3893e-01  4.3729e-01  5.7063e-01  1.0483e-01 -6.0212e-01  8.5775e-01
  4.7911e-01  3.1966e-01 -2.2385e-01 -1.4707e-01  4.9851e-01 -3.8221e-01
 -1.1787e+00 -8.2171e-02  2.7204e-02 -1.0532e-01  6.3285e-02 -5.4361e-01
 -6.4766e-01 -1.7221e-01 -5.8972e-01  1.8063e-01  1.1597e-01  3.9940e-01
  5.9598e-01 -4.4441e-01  2.5102e-01 -4.1253e-02  9.0625e-01 -3.9331e-01
  6.8544e-01 -8.2633e-01 -3.0172e-01 -2.3454e-01  4.4753e-01  7.0288e-01
  8.1145e-01 -2.3852e+00 -2.3386e-01  2.2189e-01  4.9760e-01  5.6940e-01
 -7.0580e-01  3.3990e-01  1.3154e-01  2.5168e-01  3.8862e-01  6.8264e-02
  1.1752e-02 -8.5880e-02 -8.4625e-01 -3.6164e-01  3.0690e-01  2.3490e-01
 -1.3806e+00  2.8760e-01 -3.0528e-01 -7.0227e-02 -2.5554e-01  7.2083e-03
  3.6876e-02 -1.6108e-02  4.2871e-01  2.8541e-01  6.1632e-01  1.9873e-01
 -8.6884e-01 -5.4635e-01  7.9660e-03  5.3721e-01 -6.4748e-01 -4.6132e-04
  1.4608e-01  1.2791e-01 -2.5013e-01  5.0831e-01 -6.8658e-01 -5.1919e-01
  2.7004e-01  2.2024e-01  2.4433e-01  1.2999e-01]",3
