,title,vector,cluster
0,wrestler,"[ 7.3274e-01  1.6037e-01  2.6256e-01 -1.3678e-01 -2.0767e-01  4.6851e-02
 -5.4696e-01 -4.3827e-01 -4.7895e-01  5.9637e-01 -5.3325e-02 -3.1450e-01
  1.2174e+00  5.7706e-02  2.8902e-01  2.6385e-02  7.0201e-01  2.3248e-01
  2.0526e-01 -5.6829e-02  6.4105e-01  3.2089e-01 -1.0376e-01  8.9828e-01
  3.7236e-01  4.6314e-01 -1.1391e-01 -1.0467e+00  1.2963e+00  1.0831e-01
 -8.8394e-01  6.9317e-01  1.5538e-01 -1.3619e-01  6.2268e-01 -5.2827e-01
 -1.1231e+00  1.7457e-01 -3.4897e-01  1.0658e-01 -8.1254e-02  6.4029e-01
  4.7739e-01 -3.0493e-01 -2.5945e-01 -6.4352e-02 -4.3818e-01 -3.3393e-01
 -6.4958e-01  3.4879e-01 -1.0087e+00  1.5549e-03  9.3005e-01  7.5203e-01
  9.2868e-01 -8.1615e-01 -4.4228e-01  1.0231e-01  1.0899e-01  9.7448e-01
  2.3258e-01 -8.8520e-03 -3.2612e-01  1.1423e+00  4.8081e-01 -5.7076e-01
  6.2197e-01  2.3355e-01 -9.1173e-02  8.5232e-01  1.3759e-02 -6.0815e-01
  1.8860e-01  1.9163e+00  1.7546e-01  6.7291e-03  2.6296e-01 -2.7756e-01
  8.0574e-01 -2.9868e-01  1.3678e-01 -7.0870e-01 -3.3336e-01 -9.5618e-01
  4.3588e-01 -4.2394e-01 -1.0610e+00  4.4432e-01  6.7411e-01 -1.0287e+00
 -2.4200e-01  2.6815e-01 -1.5313e-01  6.9283e-01  5.8919e-01 -6.0236e-01
 -5.1842e-01  4.1606e-01  4.2451e-01 -5.6143e-01]",0
1,nagold,"[ 0.36142   -0.44759   -0.30215    0.14925    0.29055   -0.38535
  0.17626    0.049469   0.44398   -0.45796    0.21568    0.21734
 -0.062162   0.082143  -0.18737   -0.066056   0.054241  -0.31612
  0.10773   -0.14516   -0.64161   -0.091157  -0.36009   -0.045861
 -0.4747    -0.033471  -0.32763    0.39826    0.044551  -0.60253
  0.12798    0.091426   0.412     -0.53141    0.030837  -0.54779
  0.27704   -0.19018    0.13284    0.061031   0.017174   0.080129
 -0.45972    0.19871    0.016787   0.23722    0.56456   -0.0010652
  0.39033    0.6395    -0.2585     0.19978   -0.11981   -0.09611
 -0.059894   0.93568   -0.11631   -0.11088   -0.42761   -0.85872
  0.19017    0.25536    0.27854   -0.058262  -0.12832    0.20885
  0.03562   -0.44739   -0.072      0.19843    0.27203    0.57436
  0.41116    0.11561    0.012614  -0.11161    0.37462    0.16581
  0.78422    0.076224  -0.50693    0.62185    0.20107   -0.052025
  0.37972    0.20929   -0.24435    0.41925    0.0049097  1.0287
  0.14633    0.044893  -0.68922    0.28713   -0.22228   -0.019616
 -0.11968    0.6808     0.054567  -0.13875  ]",0
2,suhl,"[-1.6527     0.18431   -0.044262  -1.493     -1.127     -0.51352
 -0.76589   -0.77262    1.2136     0.30993   -0.39402    0.18349
 -0.35611    0.092328   0.44863    0.28235    0.11941    0.011426
  0.76165   -0.52179    0.75953    1.5727     0.33012    0.28723
 -1.3982     0.1155    -0.69517   -0.46771    0.83755   -1.2094
  0.79205   -0.96585    0.31643   -0.2838     0.16384   -0.32584
 -0.61929    0.90218    0.14244    0.36466    0.54933    0.042652
 -0.41431   -0.46544   -0.021229  -1.2523    -0.50715   -0.092144
  1.0631    -0.32588   -1.0223    -0.25189   -0.72443   -0.17311
 -1.3964     0.79417    0.046859   0.14763   -0.42681   -0.93692
 -0.3053     0.082098   0.17288   -1.7586    -0.52936   -0.21961
  0.25033    0.010732  -1.4321     0.023697   0.018552   0.48509
 -0.66701   -0.7001    -1.087     -0.41375    0.94279   -0.67204
  0.0045301 -0.022097   0.22436   -0.15246    0.85215   -0.6015
 -0.43033    0.70297   -0.46639   -0.13477    0.4617     1.0447
  0.42484   -0.20609    0.1352     0.20125    1.0196     0.21415
  0.63878   -0.65416    0.55383   -0.56997  ]",0
3,turner,"[ 0.51634   -0.37186   -0.21776   -1.0115     0.4014    -0.4841
  0.36274   -0.2952    -0.42258   -0.62844    0.67708    0.18552
 -0.456     -0.27424    0.19487   -0.53414    0.2921     0.0063973
 -0.40534    0.51213   -0.51944    0.33938    0.20581    0.011291
  0.63816    0.014355   0.38121    0.43831    0.17278    0.46771
  0.1766     1.0636     0.37579   -0.32771    0.070332  -0.069798
  0.16214    0.47082   -0.15928    0.0088985  0.29625    0.015865
 -0.21844    0.47314   -0.62659    0.66287   -0.28477   -0.58179
  0.82826   -0.55999   -0.099919  -0.12115    0.67985   -0.010594
  0.33734   -1.8146     0.12054   -0.47243    0.2331     0.34344
  0.41856    0.49877    0.32787   -0.16469    0.60847   -0.099008
  0.78262    0.91239   -0.32385    0.57448    0.043093  -0.0074497
 -0.32428    0.13481    0.29397   -0.47896   -0.080499   0.068938
 -0.41502    0.43049    0.18954   -0.27725    0.65763   -0.29875
 -0.45189   -0.14787   -0.044154  -0.34919    0.015381   0.061958
  0.4261    -0.60621    0.13438   -0.05737   -0.28743    0.018695
 -0.049184   0.025246   0.11162    0.17564  ]",0
4,carbon,"[-0.86024    0.41537    0.77613   -0.14248    0.41046   -1.4263
 -0.36055    0.41034   -0.29465    0.7189     0.14438   -0.44767
 -0.51282    0.015249   0.0083399 -0.23495    0.4805     0.0087712
  0.43986   -0.89257    0.34912   -0.42359   -0.42084    0.70255
 -0.09279    0.23774    0.13882    0.02297   -0.02083    0.29218
  0.50134    0.64078   -0.81939   -0.41663    0.25269   -0.21719
  0.46428   -0.25791   -0.11206    0.2282    -0.41386   -0.49676
 -0.38454    0.82204   -0.20796    0.036016  -0.5498     0.4976
 -0.93545   -0.65843   -0.022302  -0.82      -0.85063    0.70527
 -0.35174   -1.4298     0.22955   -0.24066    1.292      0.11649
  0.41257    0.44025   -0.46754    0.47499    1.0195     0.36323
  0.68941   -0.36606    0.79495   -1.7982     0.21844   -0.82829
  1.1334     0.86396   -0.34679   -0.60309    1.1231    -1.4175
 -0.64539    0.41959    0.99674    0.55909   -0.68208   -0.13385
  0.09208    0.59337    0.83481   -0.34248   -0.66219    0.62288
 -0.36501   -0.72565   -0.14525   -0.025109  -0.20308   -0.48734
  0.27607   -0.89687    0.60863   -0.95004  ]",0
5,partner,"[ 5.2464e-01  2.1461e-03  6.3151e-02  2.3223e-02  2.1665e-01 -7.1464e-01
  1.1485e-02 -3.1713e-01 -1.6499e-01  7.0451e-02  2.1775e-01 -3.8091e-01
  4.0173e-01  3.5168e-01 -5.2220e-01 -6.5988e-01  3.3155e-01 -3.5089e-01
 -3.5807e-01  6.3214e-01 -1.6916e-02  2.3069e-01  2.9543e-01  3.6803e-01
  3.9585e-01  2.9226e-01  5.6709e-01 -3.1031e-01 -2.3816e-02  2.2850e-01
 -1.9065e-01  1.6869e+00  4.7622e-01 -8.6837e-01  4.1986e-01 -8.7649e-03
  4.8771e-01  2.1354e-03  1.2848e-01 -2.6588e-01  1.0899e-01  4.4995e-01
  6.9000e-01 -1.2741e-01 -1.0368e-01 -2.6997e-01 -6.3894e-01  3.4968e-02
 -2.0334e-01 -3.8346e-01 -3.6824e-01  4.0393e-02 -2.8784e-01  6.8637e-01
  6.1490e-01 -2.3178e+00 -6.1505e-01  2.4910e-01  7.1707e-01  7.9680e-01
  2.6098e-01 -1.7503e-01  2.9987e-01  2.4604e-01  4.6871e-01 -3.5806e-01
  4.2147e-01  9.5894e-01  6.1684e-01  1.1752e-01 -2.7969e-01 -1.7128e-01
 -7.0592e-01 -6.1675e-01  1.4693e-01 -6.0010e-01 -4.0357e-01 -9.7433e-01
 -1.7809e-01 -1.0770e-01  7.4321e-01  7.5040e-01  6.6269e-01  1.8629e-01
 -6.5659e-01 -1.8939e-01 -5.0868e-02  7.2836e-01  2.9022e-02 -9.1634e-01
 -1.1576e-01 -2.0757e-01  4.5795e-01  3.1454e-02  3.4923e-02  7.4890e-01
 -1.6390e-01 -1.2151e-01  3.2239e-01  2.7957e-01]",0
6,dgb,"[ 1.2118    0.57321  -0.15799  -0.014273 -0.15061  -0.85154  -0.9836
 -0.051202  0.26473  -1.2848   -0.71259  -0.61184   0.43449   0.15767
  0.098433  0.61606   0.61865  -0.13527  -0.25374  -0.8063    0.81045
  0.53288  -0.24283  -0.040841  0.091536 -0.26544  -0.07925  -0.056331
  0.33103   0.45353  -0.21781   0.11271  -0.19405  -1.1793   -0.44046
 -0.44475   0.48754   0.14106   0.50895  -0.095398  0.11428   0.12421
  0.82217   0.5608    0.087372 -0.43493  -0.11172   0.37645  -0.93729
  0.69956   0.32093   0.78517  -0.35758  -0.59531   0.37065   0.48033
 -0.30285   0.91296  -0.20321   0.27866   0.72964  -0.50504   0.27063
  0.11073  -1.1359   -0.58278  -0.11253   0.34156   0.68491  -0.75283
  0.18489  -0.39303  -0.32591  -0.1174    0.079249 -0.39621   0.41112
  0.21023  -0.51152   0.27174  -0.71828  -0.42824   0.24987  -0.12068
  0.24611  -0.34661  -0.31574   0.5131    0.70703   0.10258   0.79267
  0.43654   0.012674  0.082517  1.1936   -0.26462  -0.12376   0.60841
  0.21935   0.039795]",0
7,wetzlar,"[ 0.1557    -0.80768    0.081811   0.4573    -0.08351    0.30465
 -0.27553   -0.44442    0.70341    0.01052    0.52138   -0.26856
 -0.22026    0.50606   -0.19465   -0.035238  -0.011262  -0.1514
  0.13892   -0.41998   -0.16281    0.20597    0.088293   0.00866
 -0.56657   -0.40453    0.24416    0.85052    0.24575   -0.24061
 -0.3014     0.13816    0.44421   -0.67961    0.14577    0.0056425
  0.74742   -0.12257   -0.3322    -0.32232    0.55466   -0.41112
 -0.42757   -0.37951   -0.58601    0.1701     1.0549     0.042484
  0.41606    0.78876   -0.12914   -0.58291    0.1848    -0.51152
 -0.79376    0.63379   -0.63459   -0.25095   -0.60267   -0.56064
  0.21545   -0.19131   -0.37446    0.17181   -0.124      0.1493
 -0.15758   -0.086762  -0.58187   -0.022426  -0.4234    -0.14299
  0.54218    0.062039  -0.28546    0.15373    0.60433   -0.068063
  0.60341    0.097321  -0.54277   -0.0050957  0.018573   0.16189
 -0.16266    0.23018   -0.59544    0.20209   -0.087652   0.22459
  0.56529    0.49971   -0.048776  -0.0075209  0.56187   -0.037255
  0.30963    0.13568    0.10744    0.016291 ]",0
8,ikb,"[-0.04949   -0.37125    0.207      0.042388  -0.17277   -0.24331
 -0.14835   -0.63391    0.432      0.13718    0.77015    1.1676
 -0.48589    0.61865    0.018144   0.041408   0.2471    -0.58129
 -0.066252   0.59215   -0.12564    0.015855  -0.39187    1.0423
 -0.4152    -0.86529   -0.3618     0.86673   -1.2615    -0.21901
  0.10484    0.36018   -0.19893    0.72047    0.23751   -0.29345
  1.0147     0.068555   0.0071954 -0.46935    0.59296    0.38126
  0.20141    0.93428   -0.38631    0.86158    0.90786    0.6055
 -0.26783    0.50915   -1.0433     0.50997    0.55733   -0.4609
 -0.53444    0.11057    0.017251  -0.3344     0.093751   0.50593
  0.89374    0.13132    0.11501    0.62726   -0.18211    0.38293
  0.29248    0.1948     0.15118   -0.31345    0.39077   -0.42512
 -0.45181   -0.15926    0.19014    0.40318    0.35314    0.070742
 -0.27813   -0.058256   0.6878    -0.55897   -0.13476    0.82058
 -0.14643   -0.38874    0.09576    0.2398    -0.081984   1.1206
  0.19492    0.53609    0.6281    -0.47225    0.81844    1.1887
  0.80753    0.83469   -0.21641   -0.015764 ]",0
9,vater,"[-1.7552e-01 -4.4519e-01 -3.8434e-01 -2.9352e-02  2.6261e-01  7.5194e-02
 -3.5757e-01 -1.7239e-01  5.2236e-01  9.1220e-02 -3.2446e-01 -2.6234e-01
 -4.3951e-01  5.6823e-01  1.2721e-01  3.2713e-01 -5.7587e-01  5.8873e-01
  1.2442e-01 -5.5505e-01  7.6590e-01 -5.6439e-02 -1.2928e-01 -9.1624e-02
 -3.3893e-01  3.4072e-01 -3.7028e-02  1.5120e-01  5.0460e-01  5.8235e-01
 -3.8154e-01 -1.3490e-01 -8.8421e-01  4.1281e-01  1.9398e-01 -6.1380e-01
  9.8642e-01  4.6013e-02  1.3556e-01 -3.9537e-01 -7.1219e-04  3.3520e-01
  4.1505e-01  1.6991e-01 -1.1230e+00 -5.8339e-01 -2.1210e-01  2.4689e-01
 -6.4435e-01  1.9491e-01 -5.1830e-01  1.7114e-01  5.7803e-04 -2.3304e-01
 -1.8877e-02  8.3781e-01  2.3936e-01  6.2581e-01 -9.6926e-01 -3.1399e-01
  8.8761e-01  6.3685e-02  1.0771e-03  2.6466e-01 -3.4578e-01  2.4376e-01
 -4.3250e-01  1.8373e-01  3.6052e-02  1.6388e-02 -3.1204e-01 -1.2809e-01
  6.6175e-01  1.5694e-01  1.9810e-01  2.2482e-01 -2.3487e-01  5.2013e-01
 -1.6139e-01  3.6097e-01  1.7046e-01 -1.6909e-02 -2.3665e-01 -2.7449e-01
  2.8754e-02  1.0489e-01 -1.9601e-01 -8.0842e-02  7.5896e-01  1.3195e-01
  2.8417e-01  2.9672e-01  5.4431e-01  4.8215e-01  4.9881e-01 -7.2684e-01
  6.4556e-01  3.9842e-01 -6.4544e-02  1.7970e-01]",0
